[04:01:43] [INFO] received Windows console close event; shutting log-core down
[04:05:11] [INFO] received Windows console close event; shutting log-core down
[04:08:43] [INFO] received Windows console close event; shutting log-core down
[12:53:46] [INFO] received Windows console close event; shutting log-core down
[12:54:50] [INFO] received Windows console close event; shutting log-core down
[14:38:54] [INFO] received Windows console close event; shutting log-core down
[14:43:44] [INFO] received Windows console close event; shutting log-core down
[14:55:04] [INFO] received Windows console close event; shutting log-core down
[16:45:55] [INFO] received Windows console close event; shutting log-core down
[19:34:44] [INFO] received Windows console close event; shutting log-core down
[19:35:40] [INFO] received Windows console close event; shutting log-core down
[19:46:24] [INFO] received Windows console close event; shutting log-core down
[20:38:25] [INFO] received Windows console close event; shutting log-core down
[21:02:25] [INFO] received Windows console close event; shutting log-core down
[03:21:50] [INFO] received Windows console close event; shutting log-core down
[03:59:40] [INFO] received Windows console close event; shutting log-core down
[04:04:20] [ERROR] exception 0XC0000094 (INTEGER_DIVIDE_BY_ZERO) from Vectored Exception Handler catched; shutting log-core down
[04:04:20] [ERROR] exception 0XC0000094 (INTEGER_DIVIDE_BY_ZERO) from Unhandled Exception Handler catched; shutting log-core down
